CAP;Zona
00010;EU
00012;EU
00013;EU
00015;EU
00017;EU
00018;EU
00019;EU
00020;EU
00021;EU
00022;EU
00023;EU
00024;EU
00025;EU
00026;EU
00027;EU
00028;EU
00029;EU
00030;EU
00031;EU
00032;EU
00033;EU
00034;EU
00035;EU
00036;EU
00037;EU
00038;EU
00039;EU
00040;EU
00041;EU
00042;EU
00043;EU
00044;EU
00045;EU
00046;EU
00047;EU
00048;EU
00049;EU
00051;EU
00052;EU
00053;EU
00054;EU
00055;EU
00058;EU
00059;EU
00060;EU
00061;EU
00062;EU
00063;EU
00065;EU
00066;EU
00067;EU
00068;EU
00069;EU
00071;EU
00072;EU
00073;EU
00074;EU
00075;EU
00076;EU
00077;EU
00078;EU
00079;EU
00118;AM
00119;AM
00121;AM
00122;AM
00123;AM
00124;AM
00125;AM
00126;AM
00127;AM
00128;AM
00131;AM
00132;AM
00133;AM
00134;AM
00135;AM
00136;AM
00137;AM
00138;AM
00139;AM
00141;AM
00142;AM
00143;AM
00144;AM
00145;AM
00146;AM
00147;AM
00148;AM
00149;AM
00151;AM
00152;AM
00153;AM
00154;AM
00155;AM
00156;AM
00157;AM
00158;AM
00159;AM
00161;AM
00162;AM
00163;AM
00164;AM
00165;AM
00166;AM
00167;AM
00168;AM
00169;AM
00171;AM
00172;AM
00173;AM
00174;AM
00175;AM
00176;AM
00177;AM
00178;AM
00179;AM
00181;AM
00182;AM
00183;AM
00184;AM
00185;AM
00186;AM
00187;AM
00188;AM
00189;AM
00191;AM
00192;AM
00193;AM
00195;AM
00196;AM
00197;AM
00198;AM
00199;AM
01010;EU
01011;EU
01012;EU
01014;EU
01015;EU
01016;EU
01017;EU
01018;EU
01019;EU
01020;EU
01021;EU
01022;EU
01023;EU
01024;EU
01025;EU
01027;EU
01028;EU
01030;EU
01032;EU
01033;EU
01034;EU
01035;EU
01036;EU
01037;EU
01038;EU
01039;EU
01100;CP
02010;EU
02011;EU
02012;EU
02013;EU
02014;EU
02015;EU
02016;EU
02018;EU
02019;EU
02020;EU
02021;EU
02022;EU
02023;EU
02024;EU
02025;EU
02026;EU
02030;EU
02031;EU
02032;EU
02033;EU
02034;EU
02035;EU
02037;EU
02038;EU
02039;EU
02040;EU
02041;EU
02042;EU
02043;EU
02044;EU
02045;EU
02046;EU
02047;EU
02048;EU
02049;EU
02100;CP
03010;EU
03011;EU
03012;EU
03013;EU
03014;EU
03016;EU
03017;EU
03018;EU
03019;EU
03020;EU
03021;EU
03022;EU
03023;EU
03024;EU
03025;EU
03026;EU
03027;EU
03028;EU
03029;EU
03030;EU
03031;EU
03032;EU
03033;EU
03034;EU
03035;EU
03036;EU
03037;EU
03038;EU
03039;EU
03040;EU
03041;EU
03042;EU
03043;EU
03044;EU
03045;EU
03046;EU
03047;EU
03048;EU
03049;EU
03100;CP
04010;EU
04011;EU
04012;EU
04013;EU
04014;EU
04015;EU
04016;EU
04017;EU
04018;EU
04019;EU
04020;EU
04021;EU
04022;EU
04023;EU
04024;EU
04025;EU
04026;EU
04027;EU
04029;EU
04031;EU
04100;CP
05010;EU
05011;EU
05012;EU
05013;EU
05014;EU
05015;EU
05016;EU
05017;EU
05018;EU
05020;EU
05021;EU
05022;EU
05023;EU
05024;EU
05025;EU
05026;EU
05028;EU
05029;EU
05030;EU
05031;EU
05032;EU
05034;EU
05035;EU
05039;EU
05100;CP
06010;EU
06012;EU
06014;EU
06016;EU
06018;EU
06019;EU
06021;EU
06022;EU
06023;EU
06024;EU
06025;EU
06026;EU
06027;EU
06028;EU
06029;EU
06030;EU
06031;EU
06033;EU
06034;EU
06035;EU
06036;EU
06038;EU
06039;EU
06040;EU
06041;EU
06042;EU
06043;EU
06044;EU
06045;EU
06046;EU
06047;EU
06049;EU
06050;EU
06051;EU
06053;EU
06054;EU
06055;EU
06056;EU
06057;EU
06059;EU
06060;EU
06061;EU
06062;EU
06063;EU
06064;EU
06065;EU
06066;EU
06068;EU
06069;EU
06072;EU
06073;EU
06081;EU
06083;EU
06084;EU
06089;EU
06121;CP
06122;CP
06123;CP
06124;CP
06125;CP
06126;CP
06127;CP
06128;CP
06129;CP
06131;CP
06132;CP
06133;CP
06134;CP
06135;CP
07010;EU
07011;EU
07012;EU
07013;EU
07014;EU
07015;EU
07016;EU
07017;EU
07018;EU
07019;EU
07020;EU
07021;EU
07022;EU
07023;EU
07024;EU
07025;EU
07026;EU
07027;EU
07028;EU
07029;EU
07030;EU
07031;EU
07032;EU
07033;EU
07034;EU
07035;EU
07036;EU
07037;EU
07038;EU
07039;EU
07040;EU
07041;EU
07043;EU
07044;EU
07045;EU
07046;EU
07047;EU
07048;EU
07049;EU
07051;EU
07052;EU
07100;CP
08010;EU
08011;EU
08012;EU
08015;EU
08016;EU
08017;EU
08018;EU
08020;EU
08021;EU
08022;EU
08023;EU
08024;EU
08025;EU
08026;EU
08027;EU
08028;EU
08029;EU
08030;EU
08031;EU
08032;EU
08036;EU
08038;EU
08039;EU
08040;EU
08042;EU
08044;EU
08045;EU
08046;EU
08047;EU
08048;EU
08049;EU
08100;CP
09010;EU
09011;EU
09012;EU
09013;EU
09014;EU
09015;EU
09016;EU
09017;EU
09018;EU
09019;EU
09020;EU
09021;EU
09022;EU
09023;EU
09024;EU
09025;EU
09026;EU
09027;EU
09028;EU
09029;EU
09030;EU
09031;EU
09032;EU
09033;EU
09034;EU
09035;EU
09036;EU
09037;EU
09038;EU
09039;EU
09040;EU
09041;EU
09042;EU
09043;EU
09044;EU
09045;EU
09047;EU
09048;EU
09049;EU
09050;EU
09051;EU
09052;EU
09053;EU
09054;EU
09055;EU
09056;EU
09057;EU
09058;EU
09059;EU
09060;EU
09061;EU
09062;EU
09063;EU
09064;EU
09065;EU
09066;EU
09067;EU
09068;EU
09069;EU
09070;EU
09071;EU
09072;EU
09073;EU
09074;EU
09075;EU
09076;EU
09077;EU
09078;EU
09079;EU
09080;EU
09081;EU
09082;EU
09083;EU
09084;EU
09085;EU
09086;EU
09088;EU
09089;EU
09090;EU
09091;EU
09092;EU
09093;EU
09094;EU
09095;EU
09096;EU
09097;EU
09098;EU
09099;EU
09121;CP
09122;CP
09123;CP
09124;CP
09125;CP
09126;CP
09127;CP
09128;CP
09129;CP
09131;CP
09134;CP
09170;CP
10010;EU
10011;EU
10012;EU
10013;EU
10014;EU
10015;EU
10016;EU
10017;EU
10018;EU
10019;EU
10020;EU
10022;EU
10023;EU
10024;EU
10025;EU
10026;EU
10028;EU
10029;EU
10030;EU
10031;EU
10032;EU
10034;EU
10035;EU
10036;EU
10037;EU
10038;EU
10039;EU
10040;EU
10041;EU
10042;EU
10043;EU
10044;EU
10045;EU
10046;EU
10048;EU
10050;EU
10051;EU
10052;EU
10053;EU
10054;EU
10055;EU
10056;EU
10057;EU
10058;EU
10059;EU
10060;EU
10061;EU
10062;EU
10063;EU
10064;EU
10065;EU
10066;EU
10067;EU
10068;EU
10069;EU
10070;EU
10071;EU
10072;EU
10073;EU
10074;EU
10075;EU
10076;EU
10077;EU
10078;EU
10079;EU
10080;EU
10081;EU
10082;EU
10083;EU
10084;EU
10085;EU
10086;EU
10087;EU
10088;EU
10089;EU
10090;EU
10091;EU
10092;EU
10093;EU
10094;EU
10095;EU
10098;EU
10099;EU
10121;AM
10122;AM
10123;AM
10124;AM
10125;AM
10126;AM
10127;AM
10128;AM
10129;AM
10131;AM
10132;AM
10133;AM
10134;AM
10135;AM
10136;AM
10137;AM
10138;AM
10139;AM
10141;AM
10142;AM
10143;AM
10144;AM
10145;AM
10146;AM
10147;AM
10148;AM
10149;AM
10151;AM
10152;AM
10153;AM
10154;AM
10155;AM
10156;AM
11010;EU
11011;EU
11012;EU
11013;EU
11014;EU
11015;EU
11016;EU
11017;EU
11018;EU
11020;EU
11021;EU
11022;EU
11023;EU
11024;EU
